n,Iterative C,Recursive C,Dynamic Programming C,Iterative P,Recursive P,Dynamic Programming P
1,0.00213,0.00196,0.00193,0.03908,0.03975,0.03889
2,0.00226,0.00202,0.00189,0.03941,0.03974,0.03606
3,0.00228,0.00193,0.00191,0.03626,0.03785,0.03728
4,0.00202,0.00194,0.00197,0.03907,0.03717,0.03646
5,0.00226,0.00193,0.00189,0.03757,0.03880,0.03723
6,0.00240,0.00196,0.00193,0.03620,0.03885,0.03952
7,0.00209,0.00194,0.00193,0.03576,0.03973,0.03919
8,0.00204,0.00190,0.00190,0.03914,0.03881,0.03695
9,0.00210,0.00196,0.00203,0.03769,0.03668,0.03882
10,0.00227,0.00201,0.00200,0.03960,0.04007,0.03639
11,0.00228,0.00209,0.00186,0.03578,0.03877,0.03831
12,0.00205,0.00194,0.00199,0.03966,0.03762,0.03644
13,0.00242,0.00204,0.00193,0.03956,0.03975,0.03859
14,0.00213,0.00195,0.00441,0.03656,0.03944,0.03884
15,0.00215,0.00201,0.00457,0.03774,0.03989,0.03976
16,0.00227,0.00189,0.00436,0.03931,0.03881,0.03964
17,0.00205,0.00193,0.00441,0.03942,0.03974,0.03555
18,0.00216,0.00196,0.00447,0.03835,0.03754,0.03756
19,0.00211,0.00193,0.00449,0.03977,0.03763,0.03880
20,0.00221,0.00201,0.00451,0.03836,0.03757,0.03884
21,0.00198,0.00189,0.00438,0.03934,0.03871,0.03983
22,0.00221,0.00198,0.00444,0.03901,0.03877,0.03752
23,0.00211,0.00192,0.00441,0.03945,0.03880,0.03948
24,0.00208,0.00193,0.00458,0.03664,0.03876,0.03634
25,0.00205,0.00193,0.00445,0.03908,0.03765,0.03978
26,0.00212,0.00440,0.00441,0.03624,0.03591,0.03980
27,0.00214,0.00440,0.00438,0.03865,0.03758,0.03832
28,0.00233,0.00446,0.00449,0.03954,0.03698,0.03749
29,0.00206,0.00916,0.00451,0.03940,0.03730,0.03851
30,0.00229,0.00964,0.00450,0.03957,0.03766,0.03600
31,0.00236,0.01944,0.00458,0.03551,0.03982,0.03991
32,0.00207,0.03909,0.00481,0.03942,0.03697,0.03966
33,0.00196,0.03946,0.00452,0.03825,0.03875,0.03631
34,0.00202,0.07170,0.00451,0.03794,0.03877,0.03586
35,0.00213,0.12306,0.00468,0.03969,0.03517,0.03755
36,0.00215,0.17927,0.00459,0.03836,0.03770,0.03990
37,0.00207,0.29104,0.00480,0.03767,0.03701,0.03678
38,0.00239,0.44624,0.00461,0.03971,0.03971,0.03970
39,0.00207,0.66349,0.00472,0.03588,0.03754,0.03886
40,0.00224,1.02530,0.00463,0.03947,0.03853,0.04013
41,0.00239,1.62840,0.00457,0.03844,0.03983,0.03996
42,0.00229,2.63451,0.00460,0.03923,0.03606,0.03999
43,0.00248,4.24382,0.00477,0.03984,0.04020,0.03908
44,0.00224,6.85989,0.00498,0.03603,0.03878,0.03646
45,0.00215,11.07129,0.00462,0.03963,0.03777,0.03746
46,0.00213,17.78357,0.00488,0.03813,0.03641,0.03874
47,0.00213,28.81392,0.00988,0.03732,0.03949,0.03644
48,0.00225,46.14913,0.01082,0.07845,0.04006,0.03998
49,0.00235,-,0.00971,0.03971,0.03850,0.03754
50,0.00212,-,0.00443,0.03847,0.03621,0.03882
51,0.00208,-,0.00442,0.03713,0.03609,0.03645
52,0.00209,-,0.00945,0.03836,0.03754,0.03877
53,0.00215,-,0.00944,0.03588,0.03751,0.03879
54,0.00207,-,0.00940,0.03580,0.03756,0.03756
55,0.00209,-,0.00938,0.03952,0.03631,0.03751
56,0.00215,-,0.00944,0.03764,0.03702,0.03884
57,0.00222,-,0.00942,0.03571,0.03754,0.03751
58,0.00215,-,0.00942,0.03759,0.03756,0.03759
59,0.00221,-,0.00972,0.03707,0.03703,0.03751
60,0.00214,-,0.00943,0.03837,0.03757,0.03754
61,0.00218,-,0.00940,0.03960,0.03974,0.03858
62,0.00211,-,0.00910,0.03761,0.03876,0.03603
63,0.00213,-,0.00944,0.03842,0.03677,0.03700
64,0.00212,-,0.00903,0.03833,0.03875,0.03924
65,0.00212,-,0.00946,0.03963,0.03853,0.03686
66,0.00209,-,0.00942,0.03956,0.03977,0.03579
67,0.00217,-,0.00943,0.03958,0.03975,0.03736
68,0.00211,-,0.00909,0.03832,0.03753,0.03752
69,0.00212,-,0.00934,0.03879,0.03604,0.03885
70,0.00212,-,0.00940,0.03953,0.03746,0.03754
71,0.00211,-,0.00940,0.03846,0.03752,0.03752
72,0.00216,-,0.00942,0.03762,0.03754,0.03980
73,0.00211,-,0.00946,0.03963,0.03632,0.03878
74,0.00208,-,0.00915,0.03878,0.03759,0.03753
75,0.00208,-,0.00943,0.03954,0.03972,0.03792
76,0.00206,-,0.00915,0.03762,0.03752,0.03878
77,0.00210,-,0.00940,0.03588,0.03750,0.03596
78,0.00208,-,0.00912,0.03885,0.03771,0.03968
79,0.00208,-,0.00939,0.03579,0.03877,0.03971
80,0.00208,-,0.00940,0.03952,0.03654,0.03978
81,0.00211,-,0.00944,0.03601,0.03877,0.03781
82,0.00206,-,0.00914,0.03658,0.03753,0.03751
83,0.00216,-,0.00947,0.03767,0.03705,0.03745
84,0.00226,-,0.00950,0.03823,0.03753,0.03761
85,0.00213,-,0.00907,0.03753,0.03883,0.03980
86,0.00215,-,0.00945,0.03847,0.03879,0.03969
87,0.00205,-,0.00943,0.03956,0.03640,0.03992
88,0.00221,-,0.00950,0.03972,0.03979,0.03909
89,0.00214,-,0.00948,0.03942,0.03886,0.03771
90,0.00219,-,0.00949,0.03886,0.03861,0.03485
91,0.00202,-,0.00870,0.04018,0.03480,0.03748
92,0.00209,-,0.00942,0.03426,0.03750,0.03854
93,0.00263,-,0.00926,0.03783,0.03793,0.03861
94,0.00222,-,0.00959,0.03984,0.03491,0.03750
95,0.00223,-,0.00859,0.03383,0.03696,0.03748
96,0.00207,-,0.00882,0.03956,0.03837,0.03754
97,0.00212,-,0.00942,0.03942,0.03973,0.03847
98,0.00206,-,0.00943,0.03954,0.03965,0.03964
99,0.00204,-,0.00939,0.03928,0.03852,0.03753
100,0.00205,-,0.00926,0.03869,0.03751,0.03742
101,0.00211,-,0.00942,0.03762,0.03754,0.03751
102,0.00207,-,0.00941,0.03885,0.03598,0.03758
103,0.00249,-,0.00946,0.03835,0.03994,0.04000
104,0.00201,-,0.00935,0.03836,0.03876,0.03828
105,0.00217,-,0.00903,0.03761,0.03883,0.04000
106,0.00218,-,0.00951,0.03881,0.03993,0.03838
107,0.00217,-,0.00944,0.03974,0.03909,0.03897
108,0.00204,-,0.00944,0.03852,0.03635,0.03877
109,0.00207,-,0.00915,0.03725,0.03752,0.03881
110,0.00217,-,0.00945,0.03957,0.03759,0.03754
111,0.00218,-,0.00902,0.03961,0.03629,0.03755
112,0.00208,-,0.01823,0.03880,0.03968,0.03859
113,0.00248,-,0.00974,0.03667,0.03830,0.03955
114,0.00215,-,0.00973,0.03535,0.03974,0.03497
115,0.00213,-,0.00947,0.03954,0.03966,0.03679
116,0.00210,-,0.00944,0.03953,0.03966,0.03972
117,0.00210,-,0.00943,0.03956,0.03970,0.03967
118,0.00204,-,0.00946,0.03959,0.03944,0.03977
119,0.00216,-,0.00945,0.03886,0.03755,0.03602
120,0.00223,-,0.00946,0.03884,0.03972,0.03923
